Nome;Preço;Change;Percentual;Data
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:52:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:53:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:54:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:55:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:56:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:57:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:59:01
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:59:01
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:00:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:00:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:01:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:01:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:11:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:11:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:11:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:12:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:12:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:12:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:13:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:13:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:13:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:14:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:14:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:14:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:15:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:15:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:15:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:16:03
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:16:03
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:16:03
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:17:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:17:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:17:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:18:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:18:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:18:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:19:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:19:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:19:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:19:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:20:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:20:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:20:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:20:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:20:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:21:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:21:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:21:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:21:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:21:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:21:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:22:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:22:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:22:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:22:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:22:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:22:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:23:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:23:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:23:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:23:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:23:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:23:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:24:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:24:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:24:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:24:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:24:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:24:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:25:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:25:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:25:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:25:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:25:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:25:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:26:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:26:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 13:26:02
