Nome;Preço;Change;Percentual;Data
USD/BRL - US Dollar Brazil Real;3.9202;0.00;0.00%;2019-05-01 21:18:07
USD/BRL - US Dollar Brazil Real;3.9202;0.00;0.00%;2019-05-01 21:29:50
